job_id,title,company,category,collar_type,description,key_responsibilities,required_skills,preferred_skills,required_experience_years,required_education,preferred_certifications,location_city,location_province,salary_min_zmw,salary_max_zmw,employment_type,work_schedule,language_requirements,application_deadline,posted_date,benefits,growth_opportunities,company_size,industry_sector
JOB000001,Software Developer,Liquid Telecom Zambia,Technology,White,"Join our dynamic technology team at Liquid Telecom Zambia where you'll work on cutting-edge solutions that drive digital transformation across Zambia. As a Software Developer, you will be responsible for designing, developing, and maintaining software applications using modern technologies. Our organization values innovation, collaboration, and continuous learning in a fast-paced environment that embraces agile methodologies and development practices. You will collaborate with cross-functional teams to deliver high-quality solutions that meet business requirements while adhering to coding standards and best practices. This role offers opportunities to work on diverse projects ranging from web applications to mobile solutions, contributing to Zambia's growing tech ecosystem. You will participate in the full software development lifecycle from requirements gathering to deployment and maintenance, ensuring robust and scalable applications. We provide a supportive environment with mentorship programs and professional development opportunities to help you grow your career in technology.","Design and develop software applications; Write clean, efficient code; Participate in code reviews; Collaborate with team members; Troubleshoot and debug applications; Document technical specifications","JavaScript, Python, Java, SQL, Git, REST APIs, Agile methodologies","React, Node.js, AWS, Docker, TypeScript, CI/CD",2,Bachelor's Degree,"AWS Certified Developer, Scrum Master",Lusaka,Lusaka Province,5000,9000,Permanent,Full-time,English (Proficient),15/12/2025,01/11/2025,"Health insurance, NAPSA pension, Annual leave, Training budget","Career advancement to senior roles, Technical training, Conference attendance",Large (201-1000),Technology
JOB000002,Senior Full Stack Developer,Zamtel,Technology,White,"Zamtel is seeking a senior Full Stack Developer to join our innovative technology team driving Zambia's digital connectivity. As a Senior Full Stack Developer, you will architect and implement scalable web applications serving thousands of customers across the nation. You'll lead development initiatives using React, Node.js, and cloud technologies while mentoring junior team members. This role involves collaborating with product managers to define technical requirements and ensuring code quality through comprehensive testing and code reviews. You will optimize application performance and security while implementing CI/CD pipelines for efficient deployment. Our environment encourages technical leadership and innovation in solving complex challenges in Zambia's telecommunications sector.",Lead full-stack development projects; Architect scalable solutions; Mentor junior developers; Conduct code reviews; Optimize application performance; Implement security measures,"React, Node.js, MongoDB, AWS, Docker, Git, REST APIs","Kubernetes, GraphQL, TypeScript, Microservices, Jenkins, Redis",5,Bachelor's Degree,"AWS Solutions Architect, MongoDB Certified",Ndola,Copperbelt Province,15000,28000,Permanent,Full-time,English (Fluent),20/12/2025,05/11/2025,"Comprehensive health insurance, Pension scheme, Performance bonus, Remote work options","Technical leadership path, Architecture role progression, International exposure",Large (201-1000),Technology
JOB000003,Data Analyst,MTN Zambia,Technology,White,"MTN Zambia is looking for a skilled Data Analyst to transform raw data into actionable insights that drive business decisions across our telecommunications operations. You will work with large datasets to identify trends, patterns, and opportunities for optimization in customer behavior, network performance, and business operations. This role involves collaborating with various departments to understand data needs and creating comprehensive reports and dashboards using modern analytics tools. You'll help shape data-driven strategies that enhance customer experience and operational efficiency across Zambia.",Analyze complex datasets; Create reports and dashboards; Develop data models; Collaborate with business teams; Ensure data quality; Present findings to stakeholders,"SQL, Python, Excel, Tableau, Statistical Analysis, Data Visualization","R, Power BI, Machine Learning, Hadoop, Spark",3,Bachelor's Degree,"Tableau Certified, Google Analytics",Kitwe,Copperbelt Province,8000,16000,Contract,Full-time,English (Proficient),10/12/2025,28/10/2025,"Medical aid, Data allowance, Professional development fund","Advanced analytics roles, Data science specialization, Team lead opportunities",Enterprise (1000+),Technology
JOB000004,IT Support Specialist,Airtel Zambia,Technology,White,"Airtel Zambia seeks an IT Support Specialist to provide technical assistance and maintain our IT infrastructure across multiple locations. You will be the first point of contact for resolving hardware, software, and network issues, ensuring minimal downtime for our teams. This role involves installing and configuring computer systems, diagnosing technical problems, and providing training to staff on IT systems and security practices.",Provide technical support; Maintain IT infrastructure; Install and configure systems; Troubleshoot hardware/software issues; Train staff on IT systems,"Windows OS, Network Administration, Hardware Troubleshooting, Active Directory","Linux, Cybersecurity, ITIL, Cloud Computing",2,Diploma,"CompTIA A+, Microsoft Certified",Livingstone,Southern Province,4500,8500,Permanent,Full-time,"English (Fluent), Bemba",08/12/2025,25/10/2025,"Health insurance, Communication allowance, Training opportunities","Senior support roles, Network specialization, IT management path",Enterprise (1000+),Technology
JOB000005,Network Engineer,Zambia Online,Technology,White,"Zambia Online is hiring a Network Engineer to design, implement, and maintain our network infrastructure supporting internet services across Zambia. You will ensure network reliability, security, and performance while working with cutting-edge networking technologies. This role involves monitoring network performance, troubleshooting issues, and implementing improvements to support our growing customer base.",Design network infrastructure; Monitor network performance; Implement security measures; Troubleshoot network issues; Optimize network capacity,"Cisco Technologies, Network Security, TCP/IP, Routing Protocols","CCNA, CCNP, Firewall Management, Wireless Technologies",4,Bachelor's Degree,"CCNA, CCNP",Lusaka,Lusaka Province,10000,19000,Permanent,Full-time,English (Proficient),18/12/2025,03/11/2025,"Comprehensive benefits, Stock options, Professional certifications","Network architecture roles, Security specialization, Management path",Medium (51-200),Technology
JOB000006,Cybersecurity Analyst,Copperbelt Energy Corporation,Technology,White,"Join Copperbelt Energy Corporation as a Cybersecurity Analyst to protect our critical energy infrastructure from cyber threats. You will implement security measures, monitor for vulnerabilities, and respond to security incidents in our technology environment. This role is crucial for maintaining the integrity and security of systems that power Zambia's industrial sector.",Monitor security systems; Conduct vulnerability assessments; Implement security protocols; Respond to security incidents; Security awareness training,"SIEM Tools, Ethical Hacking, Risk Assessment, Security Frameworks","CISSP, CEH, Incident Response, Cloud Security",3,Bachelor's Degree,"CISSP, CEH",Kabwe,Central Province,9000,17000,Permanent,Full-time,English (Proficient),12/12/2025,30/10/2025,"Comprehensive security package, Risk allowance, Professional development","Security leadership roles, CISO path, Specialized security domains",Large (201-1000),Technology
JOB000007,DevOps Engineer,Zesco,Technology,White,"Zesco is seeking a DevOps Engineer to streamline our software development and deployment processes supporting Zambia's power distribution systems. You will build and maintain CI/CD pipelines, automate infrastructure, and ensure reliable deployment of critical applications managing the national grid.",Build CI/CD pipelines; Automate infrastructure; Monitor system performance; Ensure deployment reliability; Collaborate with development teams,"Docker, Kubernetes, Jenkins, AWS, Linux, Python, Git","Terraform, Ansible, Prometheus, Grafana, Azure",4,Bachelor's Degree,"AWS DevOps Engineer, Kubernetes Certified",Ndola,Copperbelt Province,11000,21000,Permanent,Full-time,English (Proficient),22/12/2025,07/11/2025,"Comprehensive benefits, Remote work options, Tech equipment","Cloud architecture roles, SRE specialization, Team leadership",Enterprise (1000+),Technology
JOB000008,Mobile App Developer,Microtek,Technology,White,"Microtek is looking for a Mobile App Developer to create innovative mobile solutions for Zambian businesses and consumers. You will develop cross-platform applications using modern frameworks, focusing on user experience and performance for the growing mobile market in Zambia.",Develop mobile applications; Collaborate with UX designers; Optimize app performance; Conduct testing and debugging; Publish to app stores,"React Native, Flutter, JavaScript, REST APIs, Mobile UI/UX","iOS Development, Android Development, Firebase, GraphQL",2,Bachelor's Degree,Google Mobile Web Specialist,Lusaka,Lusaka Province,6000,11000,Permanent,Full-time,English (Proficient),14/12/2025,02/11/2025,"Health insurance, Flexible hours, App store revenue sharing","Lead developer roles, Product management path, Startup opportunities",Small (1-50),Technology
JOB000009,Systems Administrator,Data Tech Solutions,Technology,White,"Data Tech Solutions needs a Systems Administrator to maintain our server infrastructure and ensure reliable operation of client systems across Zambia. You will manage Windows/Linux servers, implement backups, and provide technical support to our diverse client base.",Manage server infrastructure; Implement backup solutions; Monitor system performance; Provide technical support; Maintain security patches,"Windows Server, Linux, Active Directory, VMware, Backup Solutions","PowerShell, Bash, Cloud Platforms, Cybersecurity",3,Diploma,"MCSA, RHCE",Kitwe,Copperbelt Province,7000,13000,Permanent,Full-time,English (Proficient),16/12/2025,04/11/2025,"Health insurance, Certification support, Flexible schedule","Senior admin roles, Cloud specialization, IT management",Small (1-50),Technology
JOB000010,Database Administrator,Zamnet,Technology,White,"Zamnet seeks a Database Administrator to manage and optimize our database systems supporting internet services across Zambia. You will ensure data integrity, performance, and security while working with SQL and NoSQL databases in production environments.",Manage database systems; Optimize query performance; Implement backups; Ensure data security; Monitor database health,"SQL Server, MySQL, PostgreSQL, Database Performance Tuning","MongoDB, Oracle, Cloud Databases, Data Warehousing",4,Bachelor's Degree,"Oracle Certified, AWS Database",Lusaka,Lusaka Province,9500,18000,Permanent,Full-time,English (Proficient),19/12/2025,06/11/2025,"Comprehensive benefits, Remote work options, Professional development","Database architecture roles, Data engineering path, Team lead",Medium (51-200),Technology
