applied,helpful,event_id,cv_id,job_id,match_score,skills_score,location_score,salary_score,experience_score,user_skills_count,user_technical_skills_count,user_soft_skills_count,user_salary_expectation_avg,user_years_experience,employment_status_encoded,education_level_encoded,user_available_immediately,job_salary_avg,job_salary_range,job_required_skills_count,job_preferred_skills_count,job_total_skills_count,is_corporate_job,is_small_job,job_type_encoded,skills_matched_count,skills_match_ratio,skills_missing_count,salary_ratio,salary_exceeds_expectation,salary_gap,same_city,same_province,location_match_level,experience_gap,meets_experience_requirement,interaction_type_encoded,day_of_week,hour_of_day,is_weekend,is_business_hours,skills_salary_interaction,location_salary_interaction,match_score_squared,skills_experience_interaction
0,0,2410695f-d7dc-44fc-8d42-1f635eb98334,1492,JOB-P187,0.41,0.5,0.5,0.1,0.8,6,3,3,9750.0,7.0,2.0,2.0,1.0,350.0,0.0,0,0,0,0,1,1.0,0,0.0,0,0.035897435897435895,0,-9400.0,0,0,0,-7.0,1,1,1,23,0,0,0.05,0.05,0.16809999999999997,0.4
0,0,06181909-b2f6-418d-ac22-3fbb4f1f3645,128,JOB-P335,0.41,0.5,0.5,0.1,0.8,6,3,3,8000.0,4.0,1.0,1.0,0.0,300.0,0.0,0,0,0,0,1,1.0,0,0.0,0,0.0375,0,-7700.0,0,0,0,-4.0,1,1,1,23,0,0,0.05,0.05,0.16809999999999997,0.4
0,0,10a57958-e56e-4220-987b-93c7f8214742,319,JOB000138,0.613,0.0,0.3,0.95,1.0,6,3,3,6250.0,3.0,1.0,2.0,0.0,,,0,0,0,0,0,1.0,0,0.0,0,,0,,0,0,0,-3.0,1,2,1,23,0,0,0.0,0.285,0.37576899999999996,0.0
1,1,fcf69267-2889-4cee-9fbd-07870f7b6123,607,JOB-P344,0.41,0.5,0.5,0.1,0.8,6,3,3,9000.0,2.0,1.0,1.0,0.0,500.0,0.0,0,0,0,0,1,1.0,0,0.0,0,0.05555555555555555,0,-8500.0,0,0,0,-2.0,1,3,1,23,0,0,0.05,0.05,0.16809999999999997,0.4
0,1,c4fb66b2-49f4-4def-899d-d7605b49d4fd,506,JOB000079,0.205,0.0,0.3,0.1,0.7,6,3,3,18500.0,9.0,1.0,2.0,0.0,,,0,0,0,0,0,1.0,0,0.0,0,,0,,0,0,0,-9.0,1,1,1,23,0,0,0.0,0.03,0.04202499999999999,0.0
0,0,13852d0c-6f59-4ea8-88bd-2d04e5d6cd0b,1934,JOB000292,0.49,0.0,0.3,0.95,1.0,4,2,2,800.0,1.0,1.0,1.0,1.0,,,0,0,0,0,0,1.0,0,0.0,0,,0,,0,0,0,-1.0,1,1,1,23,0,0,0.0,0.285,0.24009999999999998,0.0
0,0,556e2cc2-195d-4a83-af98-ca2e32e2092c,910,JOB-P380,0.41,0.5,0.5,0.1,0.8,6,3,3,16500.0,8.0,1.0,2.0,0.0,180.0,0.0,0,0,0,0,1,1.0,0,0.0,0,0.01090909090909091,0,-16320.0,0,0,0,-8.0,1,1,1,23,0,0,0.05,0.05,0.16809999999999997,0.4
0,1,b8e54533-6320-4a60-acf5-cb1f25e519af,1388,JOB000107,0.475,0.0,0.3,1.0,0.7,6,3,3,11500.0,13.0,1.0,1.0,0.0,,,0,0,0,0,0,1.0,0,0.0,0,,0,,0,0,0,-13.0,1,1,1,23,0,0,0.0,0.3,0.225625,0.0
0,0,312fd4a6-79ef-45f6-a700-f1a85d1cf6a7,607,JOB-P089,0.41,0.5,0.5,0.1,0.8,6,3,3,9000.0,2.0,1.0,1.0,0.0,100.0,0.0,0,0,0,0,1,1.0,0,0.0,0,0.011111111111111112,0,-8900.0,0,0,0,-2.0,1,1,1,23,0,0,0.05,0.05,0.16809999999999997,0.4
0,1,d6bccec2-15cc-4477-b33f-b218eb910406,427,JOB000061,0.265,0.0,0.3,0.3,0.7,6,3,3,10250.0,7.0,2.0,1.0,1.0,,,0,0,0,0,0,1.0,0,0.0,0,,0,,0,0,0,-7.0,1,1,1,23,0,0,0.0,0.09,0.07022500000000001,0.0
